time,flux
0.000000,1.000235168
0.013341,1.002605809
0.026681,1.001465840
0.040022,1.000107267
0.053363,1.002091540
0.066704,1.000379276
0.080044,0.999579067
0.093385,0.999874280
0.106726,1.004083046
0.120067,0.999455479
0.133407,1.000890907
0.146748,1.002764589
0.160089,1.001664605
0.173430,1.002398021
0.186770,1.000733013
0.200111,1.003179539
0.213452,1.002944120
0.226793,1.000801119
0.240133,1.000521027
0.253474,1.004017300
0.266815,0.997672484
0.280156,0.996129153
0.293496,1.004225884
0.306837,1.000434935
0.320178,1.001126155
0.333519,0.999167116
0.346859,0.999424353
0.360200,1.001655722
0.373541,0.999187441
0.386882,1.002495298
0.400222,1.002985190
0.413563,0.994074224
0.426904,1.000165740
0.440245,0.999789938
0.453585,0.998699017
0.466926,1.004005820
0.480267,1.004336950
0.493608,0.999071645
0.506948,0.999665163
0.520289,1.001481367
0.533630,0.999078775
0.546971,1.002954549
0.560311,1.002144261
0.573652,1.001318382
0.586993,1.000446644
0.600334,1.000751881
0.613674,0.999193381
0.627015,1.001581839
0.640356,1.001696012
0.653696,0.999399716
0.667037,0.998322424
0.680378,1.001923782
0.693719,1.003419311
0.707059,1.000759608
0.720400,1.000162720
0.733741,0.998973354
0.747082,1.001964974
0.760422,1.000859177
0.773763,0.998764131
0.787104,0.999687668
0.800445,1.001958896
0.813785,1.003927899
0.827126,1.003213027
0.840467,1.002845432
0.853808,1.000359973
0.867148,0.998034268
0.880489,1.003720129
0.893830,0.997036807
0.907171,1.002500904
0.920511,0.998154484
0.933852,1.000774148
0.947193,1.000988272
0.960534,0.999803639
0.973874,0.998851402
0.987215,1.001077176
1.000556,0.997870035
1.013897,1.003023338
1.027237,0.998251878
1.040578,1.001027632
1.053919,1.001184209
1.067260,1.001415139
1.080600,1.005306232
1.093941,0.999762697
1.107282,1.001220644
1.120623,1.001517326
1.133963,1.002159206
1.147304,1.000486677
1.160645,0.998260672
1.173986,1.000892936
1.187326,0.999127730
1.200667,1.004783535
1.214008,1.000508814
1.227349,0.996866996
1.240689,1.003988953
1.254030,1.003938713
1.267371,1.002195383
1.280712,1.002211553
1.294052,1.000296925
1.307393,1.003058644
1.320734,0.999476110
1.334074,0.998993892
1.347415,0.999742827
1.360756,1.001023520
1.374097,1.001102282
1.387437,1.000557509
1.400778,1.000062847
1.414119,1.000706778
1.427460,1.003551609
1.440800,1.000952096
1.454141,1.000593411
1.467482,1.004731049
1.480823,1.000731230
1.494163,1.002124540
1.507504,0.997917977
1.520845,0.998652334
1.534186,1.001383526
1.547526,1.004703668
1.560867,1.005712392
1.574208,0.999046407
1.587549,0.998279989
1.600889,1.001021110
1.614230,0.998393079
1.627571,1.000245418
1.640912,1.000908280
1.654252,0.996381237
1.667593,1.004206527
1.680934,0.999484283
1.694275,1.001631595
1.707615,0.998678637
1.720956,1.002479000
1.734297,1.002348195
1.747638,1.001167370
1.760978,0.998954578
1.774319,1.000028965
1.787660,1.007333089
1.801001,1.002309679
1.814341,0.997576783
1.827682,0.999610797
1.841023,0.999777315
1.854364,1.002445999
1.867704,1.003364870
1.881045,1.000069779
1.894386,1.005660344
1.907727,0.998286170
1.921067,0.998333149
1.934408,1.001652604
1.947749,1.003350036
1.961089,0.998093440
1.974430,1.005444221
1.987771,1.000526127
2.001112,1.000146546
2.014452,0.999574227
2.027793,1.001639711
2.041134,0.999262942
2.054475,0.998479390
2.067815,1.002081916
2.081156,1.001240708
