time,flux
0.000000,0.996565270
0.013341,1.003471060
0.026681,0.995459186
0.040022,0.998954796
0.053363,1.001820362
0.066704,1.003274481
0.080044,1.000647863
0.093385,0.997236851
0.106726,0.998169977
0.120067,1.000481341
0.133407,1.000736956
0.146748,0.999932553
0.160089,0.997927067
0.173430,0.993770466
0.186770,1.003588963
0.200111,0.995762044
0.213452,1.000752186
0.226793,1.004776664
0.240133,1.000790353
0.253474,1.002086884
0.266815,1.001540113
0.280156,1.000401228
0.293496,1.006607344
0.306837,0.998797632
0.320178,1.003660371
0.333519,1.000580920
0.346859,0.997046157
0.360200,0.997715510
0.373541,0.996514794
0.386882,1.001113204
0.400222,0.999961559
0.413563,1.003777490
0.426904,1.000809787
0.440245,1.004921759
0.453585,0.998154349
0.466926,1.006078808
0.480267,0.999343743
0.493608,0.999458669
0.506948,1.001522530
0.520289,1.002073283
0.533630,0.998798474
0.546971,0.998828730
0.560311,1.000511489
0.573652,0.999013593
0.586993,1.002022201
0.600334,1.001968387
0.613674,0.998219019
0.627015,1.000486940
0.640356,0.999370031
0.653696,1.002964672
0.667037,1.000626189
0.680378,1.001009991
0.693719,1.001062868
0.707059,0.995530957
0.720400,0.995651333
0.733741,0.994864273
0.747082,1.006032467
0.760422,0.998353989
0.773763,1.003833301
0.787104,1.005940467
0.800445,1.001975077
0.813785,1.002414078
0.827126,1.003019846
0.840467,1.002240446
0.853808,0.996441787
0.867148,1.002925078
0.880489,1.001681724
0.893830,1.000712710
0.907171,1.004146601
0.920511,0.998834092
0.933852,0.994246954
0.947193,1.000910679
0.960534,1.004237914
0.973874,1.004372966
0.987215,1.000475569
1.000556,1.002749334
1.013897,1.004397781
1.027237,1.003565723
1.040578,1.002351224
1.053919,0.996253913
1.067260,1.001093487
1.080600,1.002848095
1.093941,0.997316925
1.107282,1.000053662
1.120623,0.998691945
1.133963,1.000935623
1.147304,1.000311945
1.160645,1.000056450
1.173986,1.003858762
1.187326,1.004270334
1.200667,1.004211800
1.214008,1.004564748
1.227349,1.004306067
1.240689,1.007689643
1.254030,0.995525574
1.267371,1.000599306
1.280712,1.002386047
1.294052,1.006394215
1.307393,1.002252889
1.320734,1.000753090
1.334074,0.998967271
1.347415,1.000110186
1.360756,0.995731246
1.374097,1.001219019
1.387437,1.002463630
1.400778,1.002531081
1.414119,1.003905848
1.427460,0.999459525
1.440800,0.999548913
1.454141,1.000600733
1.467482,0.999081612
1.480823,1.002261079
1.494163,0.998971837
1.507504,1.002746476
1.520845,0.997073761
1.534186,0.997082910
1.547526,0.999829038
1.560867,0.999911474
1.574208,1.006896609
1.587549,0.998414519
1.600889,0.998276079
1.614230,0.997135996
1.627571,1.000068989
1.640912,1.001705597
1.654252,1.000926410
1.667593,0.994654094
1.680934,1.000089804
1.694275,0.999566726
1.707615,0.995596338
1.720956,0.994483213
1.734297,1.001454245
1.747638,0.994785620
1.760978,1.001507130
1.774319,0.997336759
1.787660,1.001383810
1.801001,0.998280598
1.814341,0.998595700
1.827682,0.996730264
1.841023,0.992606155
1.854364,0.995997643
1.867704,0.991569572
1.881045,0.995680172
1.894386,0.995315896
1.907727,0.999432701
1.921067,0.997422035
1.934408,1.006674447
1.947749,0.998478068
1.961089,1.000567795
1.974430,0.998637946
1.987771,0.999769920
2.001112,1.005600094
2.014452,1.003090099
2.027793,1.002515286
2.041134,1.001296475
2.054475,0.995877709
2.067815,1.000421926
2.081156,1.002057778
2.094497,1.002336900
2.107838,1.000625067
2.121178,1.001033782
2.134519,1.002290324
